Model;Scenario;Region;Emissions;Total energy investment;Total energy investment (supply side);Low carbon investment;Low carbon investment (supply side);Total_inv/GDP;LC_inv/GDP;Extraction and Conversion - Fossil Fuels;Electricity - Fossil Fuels w/o CCS;Hydrogen - Fossil;Electricity - Non-bio Renewables;Hydrogen - Non-fossil;Extraction and Conversion - Bioenergy;Extraction and Conversion - Nuclear;Electricity - T&D and Storage;CCS;Energy Efficiency;Energy Supply|Electricity|Coal|w/ CCS;Energy Supply|Electricity|Coal|w/o CCS;Energy Supply|Electricity|Gas|w/ CCS;Energy Supply|Electricity|Gas|w/o CCS;Energy Supply|Electricity|Oil|w/ CCS;Energy Supply|Electricity|Biomass|w/ CCS;Energy Supply|Electricity|Biomass|w/o CCS;Energy Supply|Electricity|Nuclear;Energy Supply|Electricity|Hydro;Energy Supply|Electricity|Solar;Energy Supply|Electricity|Wind;Energy Supply|Electricity|Geothermal;Energy Supply|Electricity|Ocean;Energy Supply|Electricity|Transmission and Distribution;Energy Supply|Electricity|Electricity Storage
MESSAGEix-GLOBIOM;1.5C;R5ASIA;175.9589865;550.434783;507.0250095;287.5862244;244.1764509;1.71%;0.90%;92.82607821;49.87120137;2.590543677;144.1162449;1.009000255;16.87472261;33.0201725;160.6371215;6.079924492;43.40977348;1.138455776;35.01975763;3.373207034;14.83944435;0;0;4.35540363;33.0201725;49.69229391;54.55924575;39.00820432;0.856500897;0;156.3848332;4.252288298
MESSAGEix-GLOBIOM;CPol;R5MAF;66.58617072;264.8307953;264.8307953;18.4949683;18.4949683;3.88%;0.27%;207.4559008;9.458458285;0;7.098277794;0;7.144650119;0;33.67350837;0;0;0;0.650545169;0;8.577876154;0;0;0;0;3.863695951;0.399532282;2.829287476;0.005762084;0;33.67350837;0
MESSAGEix-GLOBIOM;NDC;R5MAF;66.70265833;260.2547655;259.9552021;19.34315131;19.04358795;3.81%;0.28%;202.0419637;9.487126925;0;7.364202767;0;7.293829258;0;33.76807948;0;0.299563358;0;0.712861189;0;8.544228774;0;0;0;0;3.863695951;0.399532282;3.09521245;0.005762084;0;33.76807948;0
MESSAGEix-GLOBIOM;2C;R5MAF;60.24031191;270.559478;261.0582136;34.51637353;25.01510908;3.98%;0.51%;197.7363474;9.24885822;0;9.881721451;0;6.670508988;1.335073742;34.56379967;1.62190408;9.501264456;0;0.650545169;1.192270688;8.368276089;0;0;0;1.335073742;3.864740438;1.358925933;4.652292996;0.005762084;0;34.56379967;0
MESSAGEix-GLOBIOM;1.5C;R5MAF;54.42012008;267.099649;246.9575694;61.50258051;41.36050096;3.96%;0.91%;167.5211005;8.203643246;0.451898933;21.08443078;0.024880253;7.684641644;3.20146378;36.24456093;2.540949318;20.14207955;0;0.650545169;1.823055347;7.323061115;0;0;0;3.20146378;10.47252592;3.550701529;7.055441244;0.005762084;0;36.24456093;0
MESSAGEix-GLOBIOM;CPol;R5LAM;34.90379908;105.8717382;105.8717382;22.67084539;22.67084539;1.49%;0.32%;67.51779241;3.020512878;0;8.307206756;0;3.243182563;0;23.78304363;0;0;0;0.024094723;0;2.916261443;0;0;0.578436349;0;5.829156333;0.001606287;2.454203358;0.022240777;0;23.78304363;0
MESSAGEix-GLOBIOM;NDC;R5LAM;34.22418955;105.9709071;105.0515462;24.37826207;23.45890117;1.49%;0.34%;66.57821462;2.851733859;0;8.930295043;0;3.244292113;0;23.4470106;0;0.919360901;0;0.024094723;0;2.747482424;0;0;0.578436349;0;5.829156333;0.001606287;3.077291646;0.022240777;0;23.4470106;0
MESSAGEix-GLOBIOM;2C;R5LAM;31.94621783;109.7838795;106.3576181;28.92818231;25.50192085;1.55%;0.41%;65.37073348;3.113944074;0;9.719584164;0;3.708608878;0;23.83221779;0.61252968;3.426261463;0;0.024094723;0.421074614;3.009692639;0;0;0.03579859;0;5.829156333;0.790895407;3.077291646;0.022240777;0;23.83221779;0
MESSAGEix-GLOBIOM;1.5C;R5LAM;27.30576062;121.283276;114.3189994;53.07325552;46.10897895;1.72%;0.75%;54.70027198;2.005227373;0.349116155;22.8005148;0.014807139;6.51527947;1.438951018;24.92501726;1.569814193;6.964276573;0;0.024094723;1.134649744;1.900975938;0;0;0.148446531;1.438951018;14.92412518;3.69112457;4.163024276;0.022240777;0;24.92501726;0
REMIND-MAgPIE;CPol;World;567.5062941;2310.634024;2056.180115;979.0592237;724.6053141;2.46%;1.04%;770.2754977;195.0902598;2.230139927;457.438449;1.38470756;66.94111394;96.84614904;465.9277813;0.046016333;254.4539096;0.009340953;71.64340185;0.00128266;123.4335603;0;0.005579933;3.054158393;92.01317313;147.9253661;184.9835367;124.5295462;0;0;450.5124763;15.41530499
REMIND-MAgPIE;NDC;World;549.8231141;2396.251773;2120.096106;1100.682449;824.5267822;2.55%;1.17%;752.9698703;167.6286759;2.905565493;538.2345648;1.4597323;67.94011313;114.5704574;473.4524881;0.934638833;276.1556671;0.47138842;47.56122846;0.00128266;120.054186;0;0.005579933;3.054701893;109.5916371;162.663115;227.7862633;147.7851865;0;0;449.2209681;24.23151995
REMIND-MAgPIE;2C;World;498.3795341;2739.264353;2406.107621;1533.465834;1200.309102;2.92%;1.64%;717.6116884;121.141244;1.762903847;813.9960223;5.29442916;84.7534907;135.718506;513.6583136;12.17102305;333.1567322;4.7839957;30.87905395;3.5064446;90.24892865;0;0.178369453;2.977822007;130.5679182;204.6968542;396.1038218;213.1953463;0;0;443.8999075;69.75840617
REMIND-MAgPIE;1.5C;World;478.9146641;2967.281818;2584.771625;1800.691201;1418.181007;3.17%;1.93%;687.4056025;105.5437433;0.753696813;961.5898171;20.81077443;109.6562017;140.9089513;533.446924;24.65591373;382.5101935;1.705517493;30.87905395;1.8669225;74.65142797;0;5.303857073;2.97757562;135.7141965;220.8311807;503.6846248;237.0740116;0;0;444.4049784;89.04194559
REMIND-MAgPIE;CPol;CHN;149.9758567;550.0246848;550.0246848;181.8823904;181.8823904;4.31%;1.42%;170.4920292;61.79050051;0.642670633;128.8206019;0.3764281;1.906572898;46.99351735;139.0011105;0.001253673;0;0.000536253;23.23854545;5.79733E-05;38.5396937;0;0.0004348;0;46.99351735;38.69962763;56.32930381;33.79167045;0;0;136.6899022;2.311208387
REMIND-MAgPIE;NDC;CHN;148.5573367;555.0467424;553.1704863;198.2064652;196.3302091;4.35%;1.55%;164.3107875;54.85307085;0.606821373;140.9914728;0.412530993;1.89883699;50.37575408;139.7027908;0.018421027;1.876256101;0.000514513;16.19208244;5.79733E-05;38.64872705;0;0.0004348;0;50.37575408;42.84344555;61.84789411;36.30013311;0;0;136.5063224;3.196468433
REMIND-MAgPIE;2C;CHN;126.2990927;697.2753157;666.1827115;351.7304724;320.6378682;5.51%;2.78%;153.6652026;48.45692371;0.4600184;236.7723111;1.22926656;2.363596282;68.24568624;153.8439796;1.145726987;31.09260419;0.319896853;13.74568749;0.02541406;34.69897486;0;0.0004348;0;68.24568624;54.66797649;121.1965868;60.90774781;0;0;134.0098022;19.83417739
