Model;Scenario;Region;Variable;Unit;2015;2016;2017;2018;2019;2020
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Electricity|Gas and Oil;billion US$2019;17,4958;17,0098;15,4708;13,9318;14,2558;15,2278
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Electricity|Gas and Oil;billion US$2019;18,5065;20,1021;19,2963;16,5109;18,0415;13,205
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Electricity|Gas and Oil;billion US$2019;26,5928;27,5748;25,3734;23,6521;24,3104;19,823
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Electricity|Gas and Oil;billion US$2019;6,7872;7,6713;8,8501;10,3031;12,1145;8,1819
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Electricity|Renewables;billion US$2019;24,6983;22,3068;17,2153;21,5253;22,6409;22,823
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Electricity|Renewables;billion US$2019;119,2968;125,6244;145,4944;125,3496;129,6515;116,5019
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Electricity|Renewables;billion US$2019;12,1568;12,1621;11,5891;10,9844;13,3733;15,2353
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Electricity|Renewables;billion US$2019;148,8814;147,1974;130,078;142,819;128,7039;112,429
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Electricity|Renewables;billion US$2019;2,7668;4,5092;5,4231;7,3217;16,2304;14,1108
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Electricity|Coal;billion US$2019;0,9;0,7;0,6;0,7036;0,5107;0,4179
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Electricity|Coal;billion US$2019;60,5886;54,5673;48,1698;43,3716;37,9149;33,8694
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Electricity|Coal;billion US$2019;2,0048;2,4893;3,0876;3,3048;3,6219;3,103
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Electricity|Coal;billion US$2019;9,2552;8,0733;7,5816;8,2686;9,0106;7,9673
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Electricity|Coal;billion US$2019;2,4514;2,5701;3,161;4,4514;5,3418;4,7424
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Extraction|Biomass;billion US$2019;0,9942;0,9005;0,9005;0,8817;0,7754;0,7754
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Extraction|Biomass;billion US$2019;1,8881;1,9739;1,8023;1,2873;0,944;1,0299
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Extraction|Biomass;billion US$2019;0,201;0,3011;0,4011;0,1012;0,0013;0,001
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Extraction|Biomass;billion US$2019;5,7348;5,9407;6,2062;6,2319;6,2775;5,2139
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Extraction|Biomass;billion US$2019;0,0818;0,0838;0,0898;0,0978;0,1018;0,0798
Reference;IEA-WEI2020;R5LAM;Investment|Energy;billion US$2019;147,1311;129,8409;121,3952;131,4494;133,2797;102,9826
Reference;IEA-WEI2020;R5ASIA;Investment|Energy;billion US$2019;639,2676;622,2186;616,5102;598,9306;591,0701;508,8224
Reference;IEA-WEI2020;R5MAF;Investment|Energy;billion US$2019;258,4801;223,6678;216,0248;196,547;198,3956;155,3743
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy;billion US$2019;828,1321;782,5487;778,8687;790,9955;775,7268;617,6481
Reference;IEA-WEI2020;R5REF;Investment|Energy;billion US$2019;163,8891;145,224;144,2011;135,8776;141,4278;101,4726
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Electricity|Fossil;billion US$2019;5,6177;5,842;6,0094;6,0057;5,7885;4,6801
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Electricity|Fossil;billion US$2019;78,0843;71,5771;63,6406;57,3034;52,1707;49,0972
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Electricity|Fossil;billion US$2019;20,5113;22,5914;22,3839;19,8156;21,6634;16,3081
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Electricity|Fossil;billion US$2019;35,8481;35,648;32,955;31,9207;33,321;27,7903
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Electricity|Fossil;billion US$2019;9,2387;10,2414;12,0111;14,7546;17,4564;12,9243
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Extraction|Fossil;billion US$2019;86,2233;67,0316;70,3629;75,8916;78,0943;52,8246
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Extraction|Fossil;billion US$2019;220,8389;185,333;177,0892;187,2834;199,1819;151,0054
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Extraction|Fossil;billion US$2019;195,1466;157,5732;149,4871;136,3695;136,2042;99,7771
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Extraction|Fossil;billion US$2019;343,3687;283,6478;308,146;307,8381;300,7638;201,5362
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Extraction|Fossil;billion US$2019;129,8224;109,5144;104,0147;91,1174;84,9559;51,9567
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Electricity|Solar|PV;billion US$2019;2,6218;1,5838;3,8853;7,9588;8,1299;7,4929
Reference;IEA-WEI2020;R5ASIA;Investment|Energy Supply|Electricity|Solar|PV;billion US$2019;23,397;56,4839;84,3181;70,5007;87,352;78,4925
Reference;IEA-WEI2020;R5MAF;Investment|Energy Supply|Electricity|Solar|PV;billion US$2019;2,0856;4,2182;3,0368;4,9279;6,2237;7,4521
Reference;IEA-WEI2020;R5OECD90+EU;Investment|Energy Supply|Electricity|Solar|PV;billion US$2019;55,342;69,4406;65,8448;91,1798;99,3869;87,0948
Reference;IEA-WEI2020;R5REF;Investment|Energy Supply|Electricity|Solar|PV;billion US$2019;0,4209;1,4343;1,1971;4,2818;14,7752;12,793
Reference;IEA-WEI2020;R5LAM;Investment|Energy Supply|Electricity|Wind;billion US$2019;9,4791;4,1479;2,7069;3,0209;2,3323;2,1667
