Model;Scenario;Region;Variable;Unit;2015;2016;2017;2018;2019;2020
Reference;IEA-WEI2020;USA;Investment|Energy;billion US$2019;326,6697;319,2942;332,9022;333,1491;329,2066;252,1446
Reference;IEA-WEI2020;CHN;Investment|Energy;billion US$2019;404,4935;392,2426;394,9987;372,2457;353,2894;307,351
Reference;IEA-WEI2020;IND;Investment|Energy;billion US$2019;72,8383;73,3306;78,2146;72,5217;69,9414;61,4053
Reference;IEA-WEI2020;RUS;Investment|Energy;billion US$2019;120,847;103,9817;105,3359;95,9444;93,0797;64,5943
Reference;IEA-WEI2020;JPN;Investment|Energy;billion US$2019;60,563;64,8109;52,0646;63,7269;56,3185;50,642
Reference;IEA-WEI2020;EUR;Investment|Energy;billion US$2019;234,6823;226,815;215,7718;209,8918;216,8382;183,5241
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Electricity|Fossil;billion US$2019;13,9842;15,2109;13,9024;11,9494;10,9056;8,9623
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Electricity|Fossil;billion US$2019;53,9311;49,0923;43,5259;39,1911;35,1236;32,4123
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Electricity|Fossil;billion US$2019;10,8966;9,9995;8,8946;8,009;7,3093;6,8991
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Electricity|Fossil;billion US$2019;6,754;7,6523;9,1055;11,184;13,2043;9,6754
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Electricity|Fossil;billion US$2019;6,0125;5,6404;5,061;4,5573;4,3576;4,3413
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Electricity|Fossil;billion US$2019;10,6435;9,7156;9,3093;10,8915;13,3831;10,4853
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Extraction|Fossil;billion US$2019;171,3599;144,9962;167,1598;168,7118;160,2312;105,244
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Extraction|Fossil;billion US$2019;120,1052;99,6131;96,5072;101,5208;110,3794;86,2543
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Extraction|Fossil;billion US$2019;19,3133;16,1333;15,4803;16,3342;17,5213;13,4429
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Extraction|Fossil;billion US$2019;99,2388;83,7243;79,6058;69,7536;64,7763;39,5652
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Extraction|Fossil;billion US$2019;1,9863;1,6639;1,486;1,5541;1,6413;1,2319
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Extraction|Fossil;billion US$2019;41,6366;33,1455;31,053;28,1827;29,6854;20,1941
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Electricity|Solar|PV;billion US$2019;14,278;27,6707;26,2868;30,8207;34,514;30,3518
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Electricity|Solar|PV;billion US$2019;18,1621;45,0785;68,9948;55,0837;50,4366;45,3212
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Electricity|Solar|PV;billion US$2019;2,2625;5,4265;10,1117;10,48;11,4494;10,2882
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Electricity|Solar|PV;billion US$2019;0,1146;0,7689;0,2228;0,9851;1,4233;1,3343
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Electricity|Solar|PV;billion US$2019;20,547;23,8397;13,8671;25,8074;19,5078;17,5293
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Electricity|Solar|PV;billion US$2019;16,1397;13,316;13,3182;20,1413;30,1262;25,6879
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Electricity|Wind;billion US$2019;17,9341;16,0294;12,2232;9,5778;8,9689;7,8873
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Electricity|Wind;billion US$2019;47,1345;22,2066;15,7545;13,595;12,3506;11,098
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Electricity|Wind;billion US$2019;3,2519;4,1339;3,711;1,4713;0,955;0,8582
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Electricity|Wind;billion US$2019;0,057;0;0;0,0633;0,0313;0,0293
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Electricity|Wind;billion US$2019;0,1695;1,2489;0,5247;0,2759;0,1274;0,1145
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Electricity|Wind;billion US$2019;34,9946;33,3465;32,6366;19,567;10,4281;8,8918
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Electricity|Geothermal;billion US$2019;0,0772;0;0;0,2577;0,0863;0,0759
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Electricity|Geothermal;billion US$2019;0;0;0;0;0;0
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Electricity|Geothermal;billion US$2019;0;0;0;0;0;0
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Electricity|Geothermal;billion US$2019;0;0;0;0;0;0
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Electricity|Geothermal;billion US$2019;0,0252;0,0361;0;0,0038;0,2291;0,2058
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Electricity|Geothermal;billion US$2019;0;0,0202;0,0404;0,0988;0,2502;0,2133
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Electricity|Solar|CSP;billion US$2019;0,7473;0;0;0;0;0
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Electricity|Solar|CSP;billion US$2019;0;0,0612;0;1,2307;1,7154;1,5414
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Electricity|Solar|CSP;billion US$2019;0;0;0;0;0;0
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Electricity|Solar|CSP;billion US$2019;0;0;0;0;0;0
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Electricity|Solar|CSP;billion US$2019;0;0;0;0;0;0
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Electricity|Solar|CSP;billion US$2019;0;0;0;0;0,1069;0,0911
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Electricity|Hydro;billion US$2019;0,1836;1,1581;0,0402;0,5826;0;0
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Electricity|Hydro;billion US$2019;30,7239;30,8237;30,4773;22,7231;16,1004;14,4675
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Electricity|Hydro;billion US$2019;3,6834;1,3254;5,1438;1,5078;0,5721;0,5141
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Electricity|Hydro;billion US$2019;1,7474;0,2298;3,0806;0,5976;0;0
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Electricity|Hydro;billion US$2019;1,1636;0,2445;0;0,0504;0;0
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Electricity|Hydro;billion US$2019;7,035;6,367;3,6693;3,3487;2,752;2,3466
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Electricity|Solar;billion US$2019;15,0253;27,6707;26,2868;30,8207;34,514;30,3518
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Electricity|Solar;billion US$2019;18,1621;45,1397;68,9948;56,3144;52,152;46,8626
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Electricity|Solar;billion US$2019;2,2625;5,4265;10,1117;10,48;11,4494;10,2882
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Electricity|Solar;billion US$2019;0,1146;0,7689;0,2228;0,9851;1,4233;1,3343
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Electricity|Solar;billion US$2019;20,547;23,8397;13,8671;25,8074;19,5078;17,5293
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Electricity|Solar;billion US$2019;16,1397;13,316;13,3182;20,1413;30,2331;25,7791
Reference;IEA-WEI2020;USA;Investment|Energy Supply|Electricity|Other renewables;billion US$2019;0,2609;1,1581;0,0402;0,8403;0,0863;0,0759
Reference;IEA-WEI2020;CHN;Investment|Energy Supply|Electricity|Other renewables;billion US$2019;30,7239;30,8237;30,4773;22,7231;16,1004;14,4675
Reference;IEA-WEI2020;IND;Investment|Energy Supply|Electricity|Other renewables;billion US$2019;3,6834;1,3254;5,1438;1,5078;0,5721;0,5141
Reference;IEA-WEI2020;RUS;Investment|Energy Supply|Electricity|Other renewables;billion US$2019;1,7474;0,2298;3,0806;0,5976;0;0
Reference;IEA-WEI2020;JPN;Investment|Energy Supply|Electricity|Other renewables;billion US$2019;1,1889;0,2807;0;0,0542;0,2291;0,2058
Reference;IEA-WEI2020;EUR;Investment|Energy Supply|Electricity|Other renewables;billion US$2019;7,035;6,3871;3,7097;3,4475;3,0022;2,5599
Reference;IEA-WEI2020;World;Investment|Energy Supply|Electricity|Transmission and Distribution;billion US$2019;296,2;306;297,8;294,4;273,2;247,5
Reference;IEA-WEI2020;World;Investment|Energy Efficiency;billion US$2019;239;264,9;250,9;251,6;249,4;219,4
Reference;IEA-WEI2020;World;Investment|Energy Demand|Renewables and other end-use;billion US$2019;30,6;29,5;28,8;29,4;30,2;27,2
Reference;IEA-WEI2020;World;Investment|Energy Supply|Extraction|Oil;billion US$2019;552,5;441,2;461,9;477,3;469,9;325,3
Reference;IEA-WEI2020;World;Investment|Energy Supply|Extraction|Gas;billion US$2019;338,4;293,1;294,8;289,7;285,6;186,1
Reference;IEA-WEI2020;World;Investment|Energy Supply|Extraction|Coal;billion US$2019;109,4;91,5;84,2;78,4;90,3;76,4
Reference;IEA-WEI2020;World;Investment|Energy Supply|Extraction|Biomass;billion US$2019;9,1;9,3;9,4;8,6;8;7,1
Reference;IEA-WEI2020;World;Investment|Energy Supply|Electricity|Coal;billion US$2019;75,2;68,4;62,7;60,1;56,5;50
Reference;IEA-WEI2020;World;Investment|Energy Supply|Electricity|Gas and Oil;billion US$2019;74,3;77,5;74,4;69,7;74;60,7
Reference;IEA-WEI2020;World;Investment|Energy Supply|Electricity|Nuclear;billion US$2019;28,9;32,6;34,4;32,6;39,1;35,2
Reference;IEA-WEI2020;World;Investment|Energy Supply|Electricity|Renewables;billion US$2019;307,7;311,8;309,7;308;310,6;281
Reference;IEA-WEI2020;World;Investment|Energy Supply|Electricity|Battery storage;billion US$2019;1,6;2,5;2,9;4,6;4;3,6
Reference;IEA-WEI2020;World;Investment|Energy Supply|Electricity|Solar|PV;billion US$2019;83,8672;133,1608;158,2822;178,8491;215,8678;193,3254
Reference;IEA-WEI2020;World;Investment|Energy Supply|Electricity|Wind;billion US$2019;124,275;89,087;73,5046;53,2398;39,6205;35,0406
Reference;IEA-WEI2020;World;Investment|Energy Supply|Electricity|Solar|CSP;billion US$2019;2,3641;0,7093;0,4232;4,1416;5,9286;5,6784
Reference;IEA-WEI2020;World;Investment|Energy Supply|Electricity|Hydro;billion US$2019;94,3657;86,8156;75,2361;68,8548;44,7719;42,7139
Reference;IEA-WEI2020;World;Investment|Energy Supply|Electricity|Solar;billion US$2019;86,2313;133,8701;158,7054;182,9907;221,7963;199,0038
Reference;IEA-WEI2020;World;Investment|Energy Supply|Electricity|Geothermal;billion US$2019;2,9281;2,0273;2,3539;2,9146;4,4113;4,3416
Reference;IEA-WEI2020;World;Investment|Energy Supply|Electricity|Fossil;billion US$2019;149,3;145,9;137;129,8;130,4;110,8
Reference;IEA-WEI2020;World;Investment|Energy Supply|Electricity|Other renewables;billion US$2019;97,2938;88,8429;77,59;71,7695;49,1831;47,0556
Reference;IEA-WEI2020;World;Investment|Energy;billion US$2019;2062,8;1928,2;1911,9;1904,5;1890,9;1519,5
Reference;IEA-WEI2020;World;Investment|Energy Supply|Extraction|Fossil;billion US$2019;1000,3;825,8;841;845,4;845,9;587,8
